f [Hz],df,vin,dvin,va,dva,vb,dvb,a,da,b,db,phi_a,dphi_a,phi_b,dphi_b,DelTa,dDelTa,DelTb,dDelTb
5.0011,0.00050011,10.48,0.372622275233245,10.4,0.370599514300815,0.02,0.001166190378969,0.992366412213741,0.049956870228769,0.001908396946565,0.000130333841842,0.10402288,0.014145254543316,0.001040457650336,4.84025039258194E-05,10.4,1,30.4,1
10.055,0.0010055,10.4,0.370599514300815,9.6,0.350633712012978,0.02,0.001166190378969,0.923076923076923,0.047311309445,0.001923076923077,0.000131415575826,0.209144,0.028439850119581,0.00420588584,0.000193118474328,10.4,1,30.8,1
15.02,0.001502,10.32,0.368581280045528,8.08,0.314257474055908,0.0182,0.001139348936893,0.782945736434108,0.042941890956408,0.001763565891473,0.000127105730712,0.264352,0.033986400892704,0.00794113408,0.000346620940211,8.8,0.8,32.4,1
20.002,0.0020002,10.32,0.368581280045528,6.72,0.283976337042367,0.0176,0.001130833321051,0.651162790697674,0.039957938008242,0.001705426356589,0.000125367794732,0.3040304,0.0565742156878,0.0121624321216,0.00069356166742,7.6,1,24.8,1
25.055,0.0025055,10.32,0.368581280045528,5.64,0.261970685382926,0.0168,0.001119828558307,0.546511627906977,0.038315014153614,0.001627906976744,0.000123105316689,0.340748,0.035433153573793,0.01707488228,0.001232019208104,6.8,0.5,19.6,1
30.005,0.0030005,10.24,0.366567647235814,4.88,0.247856732811518,0.016,0.001109233969909,0.4765625,0.037610208833538,0.0015625,0.000121912251184,0.384064,0.042433512700496,0.02304768064,0.002089383474558,6.4,0.5,15.6,1
50,0.05,10.2,0.581557391836782,3.08,0.136153442850337,0.013,0.001073359212939,0.311111111111111,0.032028526181774,0.001274509803922,0.00015202881933,,,,,,,,
200,0.2,9.9,0.581557391836782,0.78,0.055204709943989,0.0093,0.000487689450368,0.078787878787879,0.010204483155578,0.000939393939394,7.39720386167538E-05,,,,,,,,
500,0.5,5,0.25,0.154,0.011015643421971,0.0054,0.000431559961071,0.0308,0.003743128684394,0.00108,0.000101812376458,,,,,,,,
1000,1,5,0.25,0.081,0.003147205109299,0.00472,0.00042432365006,0.0162,0.00143944102186,0.000944,9.71074785997453E-05,,,,,,,,
10000,10,5,0.25,0.0126,0.002035407575892,0.0086,0.000475987394791,0.00222,0.000533081515178,0.00102,0.000128290919398,,,,,,,,
50000,50,5,0.25,0.00404,0.001007317943849,0.00376,0.00022961672413,0.000808,0.00024186358877,0.000752,5.93524523503452E-05,,,,,,,,
100000,100,5,0.25,0.0025,0.000125,0.00248,0.000213390159098,0.0005,5E-05,0.000496,4.93604538066659E-05,,,,,,,,
