Source,CH1,CH2
Second,Volt,Volt
-0.06144000000,3.60000,1.88000,
-0.06143000000,3.68000,1.88000,
-0.06142000000,3.68000,1.88000,
-0.06141000000,3.68000,1.84000,
-0.06140000000,3.68000,1.88000,
-0.06139000000,3.68000,1.88000,
-0.06138000000,-6.56000,1.84000,
-0.06137000000,-6.56000,1.84000,
-0.06136000000,-6.56000,1.88000,
-0.06135000000,-6.56000,1.84000,
-0.06133999375,-6.56000,1.84000,
-0.06133000000,-6.56000,1.84000,
-0.06132000000,-6.56000,1.84000,
-0.06131000000,-6.56000,1.84000,
-0.06130000000,-6.64000,1.84000,
-0.06129000000,-6.56000,1.80000,
-0.06128000000,-6.56000,1.84000,
-0.06127000000,-6.56000,1.80000,
-0.06126000000,-6.56000,1.80000,
-0.06125000000,-6.56000,1.80000,
-0.06124000000,-6.56000,1.80000,
-0.06123000000,-6.56000,1.80000,
-0.06122000000,-6.56000,1.80000,
-0.06121000000,-6.56000,1.76000,
-0.06119999375,-6.56000,1.76000,
-0.06119000000,-6.56000,1.80000,
-0.06118000000,-6.56000,1.76000,
-0.06116999375,-6.56000,1.76000,
-0.06116000000,-6.64000,1.76000,
-0.06115000000,-6.56000,1.80000,
-0.06114000000,-6.56000,1.76000,
-0.06113000000,-6.56000,1.76000,
-0.06112000000,-6.56000,1.76000,
-0.06111000000,-6.56000,1.72000,
-0.06110000000,-6.56000,1.72000,
-0.06109000000,-6.56000,1.72000,
-0.06108000000,-6.56000,1.72000,
-0.06107000000,-6.56000,1.72000,
-0.06106000000,-6.56000,1.68000,
-0.06105000000,-6.56000,1.72000,
-0.06104000000,-6.56000,1.72000,
-0.06102999375,-6.56000,1.72000,
-0.06102000000,-6.56000,1.68000,
-0.06101000000,-6.56000,1.68000,
-0.06100000000,-6.56000,1.68000,
-0.06099000000,-6.56000,1.64000,
-0.06098000000,-6.56000,1.64000,
-0.06097000000,-6.56000,1.64000,
-0.06096000000,-6.56000,1.64000,
-0.06095000000,-6.56000,1.64000,
-0.06094000000,-6.56000,1.64000,
-0.06093000000,-6.56000,1.64000,
-0.06092000000,-6.56000,1.68000,
-0.06091000000,-6.56000,1.68000,
-0.06090000000,-6.56000,1.64000,
-0.06089000000,-6.56000,1.64000,
-0.06088000000,-6.56000,1.60000,
-0.06087000000,-6.64000,1.64000,
-0.06085999375,-6.56000,1.60000,
-0.06085000000,-6.56000,1.60000,
-0.06084000000,-6.56000,1.60000,
-0.06083000000,-6.64000,1.56000,
-0.06082000000,-6.56000,1.64000,
-0.06081000000,-6.56000,1.60000,
-0.06080000000,-6.64000,1.60000,
-0.06079000000,-6.56000,1.60000,
-0.06078000000,-6.56000,1.56000,
-0.06077000000,-6.64000,1.56000,
-0.06076000000,-6.56000,1.60000,
-0.06075000000,-6.64000,1.56000,
-0.06074000000,-6.64000,1.56000,
-0.06073000000,-6.64000,1.56000,
-0.06071999375,-6.56000,1.56000,
-0.06071000000,-6.56000,1.52000,
-0.06070000000,-6.56000,1.52000,
-0.06069000000,-6.56000,1.52000,
-0.06068000000,-6.56000,1.56000,
-0.06067000000,-6.56000,1.52000,
-0.06066000000,-6.56000,1.52000,
-0.06065000000,-6.56000,1.52000,
-0.06064000000,-6.56000,1.48000,
